triplets,AUC,ACC,method
AMF-GLC-VTE,0.5687441515922547,0.31480000257492063,Baseline
AMF-GLC-VTE,0.65419067,0.40959999680519105,Null
AMF-GLC-VTE,0.7476219964027405,0.5142000007629395,RBM
AMF-GLC-VTE,0.78679034,0.5719999957084656,BERT
ELA-GLC-LLW,0.6094325709342957,0.32875,Baseline
ELA-GLC-LLW,0.66741144,0.42834999918937683,Null
ELA-GLC-LLW,0.7082419943809509,0.4725500011444092,RBM
ELA-GLC-LLW,0.70904251,0.4732500004768372,BERT
FLY-GLC-VTE,0.5694777750968933,0.30755555868148804,Baseline
FLY-GLC-VTE,0.67166914,0.415333331823349,Null
FLY-GLC-VTE,0.7556475448608398,0.5226666700839996,RBM
FLY-GLC-VTE,0.79002202,0.5713333392143249,BERT
ATD-AMF-YLQ,0.5751365447044372,0.27520833611488343,Baseline
ATD-AMF-YLQ,0.75404983,0.5352083337306976,Null
ATD-AMF-YLQ,0.8122961783409118,0.6064583325386047,RBM
ATD-AMF-YLQ,0.86740559,0.6860416722297669,BERT
GLC-VTE-LLW,0.6009619331359863,0.3322222244739532,Baseline
GLC-VTE-LLW,0.67429651,0.41911110997200013,Null
GLC-VTE-LLW,0.6919790005683899,0.45288888692855833,RBM
GLC-VTE-LLW,0.71400104,0.478444447517395,BERT
